admin_id,country,admin1,lat,lon,events,fatalities,weeks_active,is_maritime
3686,Yemen,Hajjah,16.0944,43.2039,6444,10625,554,False
3687,Yemen,Ibb,14.0881,44.175,5326,1575,500,False
3688,Yemen,Lahij,13.3204,44.7623,3610,5109,569,False
3689,Yemen,Marib,15.3329,45.4523,10593,24062,597,False
3690,Yemen,Raymah,14.657,43.6874,672,49,214,False
3691,Yemen,Sadah,17.0883,44.0424,15628,21304,582,False
3692,Yemen,Sanaa,15.3931,44.4753,5196,7965,528,False
3693,Yemen,Shabwah,14.651,46.62,3379,4812,565,False
3694,Yemen,Suqutra,12.5081,53.893,291,10,148,False
3695,Yemen,Taizz,13.2949,43.7855,13247,23906,600,False
3853,Qatar,Al Khor,25.7618,51.3405,10,7,5,False
4199,Indian Ocean,North Indian Ocean,13.7278,70.4734,845,101,216,True
4202,Mediterranean Sea,Wider Black Sea Region,43.4965,34.2569,305,30,118,True
4203,Mediterranean Sea,Eastern Mediterranean Sea,34.924,28.7224,107,179,70,True
