cell_id,cell_lat,cell_lon,corridor,detections,dark,expected,sdr,dark_rate,solas_dark_rate,q_value,is_dark_spot,area_type,persistence,days_observed
27.5_-97.0,27.5,-97.0,Open ocean / other,29,1,5.301737735641981,0.18861740241832448,0.034482758620689655,0.0,1.0,False,Normal,0.0,2
37.5_122.5,37.5,122.5,Open ocean / other,36,2,10.620410029372186,0.18831664638829654,0.05555555555555555,0.0,1.0,False,Normal,0.0,1
5.5_4.5,5.5,4.5,Gulf of Guinea,51,5,26.845029309893647,0.18625422018657534,0.09803921568627451,0.0,1.0,False,Normal,0.0,4
60.5_4.0,60.5,4.0,Open ocean / other,29,1,5.386801143736322,0.18563892991720746,0.034482758620689655,0.043478260869565216,1.0,False,Normal,0.0,3
6.0_1.0,6.0,1.0,Gulf of Guinea,50,2,11.187006737433189,0.17877883217033724,0.04,0.0,1.0,False,Normal,0.0,1
36.5_-2.0,36.5,-2.0,Open ocean / other,25,1,5.605135533106699,0.17840781799003896,0.04,0.0,1.0,False,Normal,0.0,4
36.0_-7.5,36.0,-7.5,Open ocean / other,29,1,5.6421205613076495,0.17723832540158171,0.034482758620689655,0.0,1.0,False,Normal,0.0,3
70.5_21.5,70.5,21.5,Open ocean / other,28,3,17.08342205423747,0.17560884408729238,0.10714285714285714,,1.0,False,Normal,0.0,7
26.0_120.0,26.0,120.0,Open ocean / other,37,2,11.454453356538172,0.1746045784767551,0.05405405405405406,0.0,1.0,False,Normal,0.0,1
38.0_118.0,38.0,118.0,Open ocean / other,63,2,11.543461616228862,0.1732582535890461,0.031746031746031744,0.0,1.0,False,Normal,0.0,1
53.5_7.5,53.5,7.5,Open ocean / other,81,4,23.223370190524697,0.17224028929410207,0.04938271604938271,0.0,1.0,False,Normal,0.0,5
43.5_13.5,43.5,13.5,Open ocean / other,35,3,17.52722851054258,0.1711622575238012,0.08571428571428572,0.0,1.0,False,Normal,0.0,4
44.0_13.0,44.0,13.0,Open ocean / other,25,2,11.715941124888655,0.17070758368282662,0.08,0.0,1.0,False,Normal,0.0,5
36.0_-8.0,36.0,-8.0,Open ocean / other,28,1,5.8738512083527,0.17024605570157886,0.03571428571428571,0.0,1.0,False,Normal,0.0,4
37.5_25.5,37.5,25.5,Open ocean / other,29,1,6.111941527793512,0.16361413070668113,0.034482758620689655,0.0,1.0,False,Normal,0.0,4
